Query_ID,Query_SMILES,Query_IC50,Query__source_file,Query_Label,Query_InChIKey,Query_MW,Query_Valid_SMILES,Query_Desalted_SMILES,Max_Tanimoto_Similarity,Mean_Similarity,Median_Similarity,Min_Similarity,Std_Similarity,BestMatch_Ref_ID,BestMatch_Ref_SMILES,BestMatch_Ref_IC50,BestMatch_Ref__source_file,BestMatch_Ref_Label,BestMatch_Ref_InChIKey,BestMatch_Ref_MW,BestMatch_Ref_Valid_SMILES,BestMatch_Ref_Desalted_SMILES
CHEMBL3322232,O=C(NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,6e-06,chembl.csv,1,NOBALTDRZBHVTJ-UHFFFAOYSA-N,610.589,O=C(NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,O=C(NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,0.6486486196517944,0.12089809030294418,0.10619468986988068,0.01886792480945587,0.06527675688266754,CHEMBL3122167,CCNC(=O)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,0.065,chembl.csv,1,KBNHGKIAHMMUCH-UHFFFAOYSA-N,365.864,CCNC(=O)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,CCNC(=O)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3
CHEMBL4451843,O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)c1c2ccccc2nc2ccccc12,7.6e-06,chembl.csv,1,OJFBQFBFSCUBRR-UHFFFAOYSA-N,488.635,O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)c1c2ccccc2nc2ccccc12,O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)c1c2ccccc2nc2ccccc12,0.6153846383094788,0.14322175085544586,0.12765957415103912,0.0117647061124444,0.07658933103084564,CHEMBL1083983,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,2e-05,chembl.csv,1,NTISYWBCRKDSDB-UHFFFAOYSA-N,468.645,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2
CHEMBL2019048,COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1,3.5000000000000004e-05,chembl.csv,1,ZUULLQGMZOHIHX-UHFFFAOYSA-N,606.163,COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1,COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1,0.5287356376647949,0.15023760497570038,0.13725490868091583,0.0235294122248888,0.06678006052970886,CHEMBL224998,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12,0.033,chembl.csv,1,BNYZFCXUCLRASW-UHFFFAOYSA-N,475.036,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12
CHEMBL2019049,O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2c(O)cc(O)cc2o1,6.500000000000001e-05,chembl.csv,1,FUYCPEKODNDZTA-UHFFFAOYSA-N,592.136,O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2c(O)cc(O)cc2o1,O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2c(O)cc(O)cc2o1,0.5609756112098694,0.12954340875148773,0.11372875422239304,0.024390242993831635,0.06722547113895416,CHEMBL224998,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12,0.033,chembl.csv,1,BNYZFCXUCLRASW-UHFFFAOYSA-N,475.036,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12
CHEMBL307004,Clc1ccc2c(NCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c3c(nc2c1)CCCC3,7.000000000000001e-05,chembl.csv,1,UAGMFLGLVVWYFR-UHFFFAOYSA-N,561.601,Clc1ccc2c(NCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c3c(nc2c1)CCCC3,Clc1ccc2c(NCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c3c(nc2c1)CCCC3,0.7021276354789734,0.1208229511976242,0.09859155118465424,0.0,0.08713871240615845,CHEMBL4632951,C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.0094,chembl.csv,1,YRJBUPQHBMBODA-UHFFFAOYSA-N,270.763,C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2,C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2
CHEMBL2019053,O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2cc(O)c(O)cc2o1,8.999999999999999e-05,chembl.csv,1,VNWJCXLTKRADKP-UHFFFAOYSA-N,592.136,O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2cc(O)c(O)cc2o1,O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2cc(O)c(O)cc2o1,0.5822784900665283,0.13192841410636902,0.1150442510843277,0.025316456332802773,0.06986192613840103,CHEMBL224998,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12,0.033,chembl.csv,1,BNYZFCXUCLRASW-UHFFFAOYSA-N,475.036,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12
CHEMBL2019035,COc1ccc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2c1,0.0001,chembl.csv,1,SXRQIJKFEIRDFT-UHFFFAOYSA-N,590.164,COc1ccc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2c1,COc1ccc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2c1,0.5795454382896423,0.1553199738264084,0.14141413569450378,0.02469135820865631,0.0705113485455513,CHEMBL199748,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2c1,5e-09,chembl.csv,1,MQAYMGGTPIYIHD-UHFFFAOYSA-N,519.089,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2c1,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2c1
CHEMBL4751100,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,0.00012,chembl.csv,1,UZGKESBGVBGSPI-UHFFFAOYSA-N,580.213,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,0.48148149251937866,0.12859442830085754,0.11818181723356247,0.0235294122248888,0.0594949796795845,CHEMBL4070182,COc1ccc(CNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1OC,0.8,chembl.csv,1,JHMQETKRNMIKSU-UHFFFAOYSA-N,382.891,COc1ccc(CNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1OC,COc1ccc(CNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1OC
CHEMBL32823,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,0.0002,chembl.csv,1,ITZOKHKOFJOBFS-UHFFFAOYSA-N,492.711,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,0.6744186282157898,0.13356642425060272,0.1149425283074379,0.0,0.08543497323989868,CHEMBL4456928,c1ccc2c(NCc3ccc(-c4ccc(CNc5c6c(nc7ccccc57)CCCC6)cc4)cc3)c3c(nc2c1)CCCC3,0.00361,chembl.csv,1,WIXYVLRIZYZCIN-UHFFFAOYSA-N,574.772,c1ccc2c(NCc3ccc(-c4ccc(CNc5c6c(nc7ccccc57)CCCC6)cc4)cc3)c3c(nc2c1)CCCC3,c1ccc2c(NCc3ccc(-c4ccc(CNc5c6c(nc7ccccc57)CCCC6)cc4)cc3)c3c(nc2c1)CCCC3
CHEMBL2019041,COc1cc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2cc1OC,0.0002,chembl.csv,1,KBYFEQRBOAAMSZ-UHFFFAOYSA-N,620.19,COc1cc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2cc1OC,COc1cc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2cc1OC,0.5609756112098694,0.1553506851196289,0.14141413569450378,0.02500000037252903,0.07029539346694946,CHEMBL224998,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12,0.033,chembl.csv,1,BNYZFCXUCLRASW-UHFFFAOYSA-N,475.036,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12,O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12
